title,source,content,type
Mau Kuliah di Unhas? Ayo. Hadiri Unhas Open Day 2026,https://www.unhas.ac.id/mau-kuliah-di-unhas-ayo-hadiri-unhas-open-day-2026/?lang=id,"Universitas Hasanuddin mengundang para siswa Sekolah Menengah Atas (SMA), khususnya yang saat ini duduk di kelas XII, untuk menghadiri Unhas Open Day (UOD) 2026. Kegiatan ini akan berlangsung selama 2 hari, yaitu Sabtu dan Minggu, 7 dan 8 Februari 2026, di GOR JK Arenatorium, mulai pukul 08.00 WITA. UOD 2026 merupakan ajang memperkenalkan kampus secara lebih dekat kepada calon mahasiswa dan masyarakat luas. Wakil Rektor Bidang Akademik dan Kemahasiswaan, Prof. drg. Muhammad Ruslin, M.Kes., Ph.D., Sp.BM(K), menjelaskan UOD 2026 merupakan bagian penting dari komitmen Unhas dalam menghadirkan layanan informasi pendidikan tinggi yang terbuka, akurat, dan mudah diakses oleh calon mahasiswa. “Kegiatan tahunan ini kami rancang sebagai ruang komunikasi langsung antara kampus dan calon mahasiswa. Melalui kegiatan ini, peserta dapat memperoleh informasi utuh mengenai sistem pendidikan, pilihan program studi, hingga berbagai peluang pengembangan diri dan beasiswa yang tersedia di Unhas,” ujar Prof Ruslin. UOD 2026 dirancang sebagai ruang interaksi dua arah. Calon mahasiswa tidak hanya menerima informasi, tetapi juga diberi kesempatan berdialog langsung dengan sivitas akademika Unhas, mulai dari dosen, pengelola fakultas, hingga mahasiswa. Dalam pelaksanaannya, UOD 2026 akan menghadirkan berbagai agenda, di antaranya pemaparan informasi fakultas dan program studi, layanan konsultasi akademik, sesi tanya jawab seputar jalur penerimaan mahasiswa baru, serta informasi beasiswa. Selain itu, pengalaman menjelajah kampus menjadi daya tarik tersendiri. Melalui agenda campus tour dan campus loop, peserta akan diajak melihat secara langsung berbagai fasilitas unggulan Unhas yang mendukung kegiatan akademik dan kemahasiswaan. Prof Ruslin menegaskan, Unhas Open Day juga mencerminkan komitmen kampus dalam membangun keterbukaan informasi dan pelayanan publik yang responsif, sejalan dengan upaya peningkatan mutu pendidikan tinggi. “Kami ingin memastikan setiap calon mahasiswa mendapatkan akses informasi yang setara dan transparan. UOD menjadi wujud komitmen Unhas dalam mendampingi generasi muda menyiapkan masa depan akademik dan profesional mereka,” tambahnya. Kegiatan ini terbuka untuk umum dan dapat diikuti secara gratis oleh calon mahasiswa baru. Hingga Rabu sore, jumlah pendaftar telah mencapai sekitar 5.000 peserta yang berasal dari berbagai daerah. Bagi calon peserta yang ingin mengikuti kegiatan ini, proses pendaftaran dapat dilakukan melalui tautan https://s.unhas.ac.id/RegistUOD2026.",berita
"22 Lulusan Terbaik Unhas Raih Penghargaan, Dominasi Predikat Cum Laude",https://www.unhas.ac.id/22-lulusan-terbaik-unhas-raih-penghargaan-dominasi-predikat-cum-laude/?lang=id,"Universitas Hasanuddin menggelar prosesi Wisuda Periode Februari Tahun Akademik 2025/2026 selama dua hari, Selasa–Rabu (3–4 Februari), bertempat di Baruga A.P. Pettarani, Kampus Tamalanrea. Pada momentum akademik ini, sebanyak 1.365 wisudawan dari berbagai jenjang pendidikan secara resmi dikukuhkan sebagai lulusan Universitas Hasanuddin. Pelaksanaan wisuda dibagi ke dalam dua sesi. Sesi pertama diikuti oleh 679 wisudawan, sementara sesi kedua dihadiri oleh 686 wisudawan. Dalam prosesi tersebut, sejumlah wisudawan berhasil mencatatkan prestasi membanggakan sebagai lulusan terbaik, sebagaimana ditetapkan melalui Surat Keputusan Rektor. Nama-nama wisudawan terbaik tersebut dibacakan oleh Direktur Pendidikan Universitas Hasanuddin, Prof. Dr. Risma Illa Maulany, S.Hut., M.NatRest. Adapun nama-nama lulusan terbaik tersebut adalah sebagai berikut: PROGRAM DOKTOR PROGRAM MAGISTER PROGRAM SARJANA FAKULTAS EKSAKTA PROGRAM SARJANA FAKULTAS NON EKSAKTA PROGRAM SUB SPESIALIS PROGRAM SPESIALIS PROGRAM PROFESI PROGRAM SARJANA (TERBAIK SETIAP FAKULTAS) Universitas Hasanuddin memberikan penghargaan berupa piagam kepada lulusan terbaik tingkat universitas dan fakultas dari berbagai jenjang pendidikan. Khusus wisudawan terbaik Program Sarjana bidang Eksakta dan Non-Eksakta, diberikan penghargaan tambahan berupa tabungan pendidikan.",berita
Rektor Unhas Tekankan Penguatan Budaya Ilmiah Global,https://www.unhas.ac.id/rektor-unhas-tekankan-penguatan-budaya-ilmiah-global/?lang=id,"Rektor Unhas, Prof. Dr. Ir. Jamaluddin Jompa, M.Sc, memaparkan perkembangan dan capaian strategis pada momen Wisuda Periode Februari 2026, Tahun Akademik 2025/2026. Wisuda berlangsung pada Selasa dan Rabu (3 dan 4 Februari 2026), di Baruga A.P. Pettarani, Kampus Unhas, Tamalanrea. Unhas semakin menegaskan jati diri institusi sebagai perguruan tinggi bereputasi, baik di tingkat nasional maupun global. Berbagai prestasi Unhas merupakan gambaran komitmen institusi dalam membangun ekosistem akademik yang unggul, berdaya saing, dan berdampak. “Capaian Unhas tidak lahir dari kerja individu, melainkan dari sinergi seluruh elemen sivitas akademika. Kolaborasi antara dosen, tenaga kependidikan, mahasiswa, alumni, dan mitra strategis telah membentuk budaya kerja yang solid, adaptif, dan berorientasi pada kemajuan bersama,” kata Prof JJ dalam sambutannya. Unhas menekankan pentingnya penguatan budaya ilmiah yang terbuka, inklusif, dan berorientasi global sebagai pondasi peningkatan kualitas akademik dan riset. Upaya tersebut menjadi bagian dari strategi meningkatkan reputasi internasional serta menyiapkan sivitas akademika yang adaptif, kolaboratif, dan mampu berkontribusi pada pengembangan ilmu pengetahuan di tingkat global. Salah satu inisiatif strategis yang terus dikembangkan adalah Thematic Research Group (TRG), yang terbukti mampu meningkatkan eksposur akademisi Unhas di tingkat nasional dan internasional, sekaligus membuka peluang kolaborasi dengan berbagai perguruan tinggi dan lembaga riset lintas negara. Salah satu wujud nyata dari komitmen tersebut dengan menyelenggarakan Nobel Laureate Lecture, menghadirkan ilmuwan peraih Nobel sebagai bagian dari langkah strategis internasionalisasi perguruan tinggi. Momentum ini membuka ruang dialog ilmiah, memperluas jejaring dan kolaborasi riset yang berdampak bagi sivitas akademika Unhas dan Indonesia. Keunggulan Unhas semakin diperkuat melalui kolaborasi internasional yang luas. Hingga saat ini, Unhas telah menjalin kemitraan strategis dengan 909 institusi internasional yang tersebar di 45 negara. Kemitraan tersebut membuka peluang bagi mahasiswa dan dosen untuk terlibat dalam riset bersama, pertukaran akademik, serta berbagai program inovatif yang mendukung daya saing global. “Manfaatkan jaringan internasional ini sebaik-baiknya. Kolaborasi yang telah terbangun bukan hanya milik universitas, tetapi juga menjadi akses bagi para alumni untuk terus berkembang, baik di dunia akademik, industri, maupun kewirausahaan,” kata Prof. JJ. Menutup sambutannya, Prof JJ berpesan bahwa wisuda bukanlah akhir dari perjalanan akademik, melainkan awal dari tanggung jawab baru untuk mengaktualisasikan ilmu pengetahuan dan keahlian dalam pengabdian kepada masyarakat, bangsa, dan negara.",berita
Sebanyak 1.365 Wisudawan Baru Pada Wisuda Unhas Periode Februari 2026,https://www.unhas.ac.id/sebanyak-1-365-wisudawan-baru-pada-wisuda-unhas-periode-februari-2026/?lang=id,"Universitas Hasanuddin kembali menyelenggarakan Prosesi Wisuda untuk Periode Februari Tahun Akademik 2025/2026. Sebanyak 1.365 wisudawan dari berbagai jenjang pendidikan secara resmi dikukuhkan sebagai lulusan, terdiri dari 505 (37,00%) laki-laki dan 860 (63,00%) Perempuan. Acara berlangsung dalam dua sesi, mulai Selasa (03/02) dan Rabu (04/02) di Baruga A.P Pettarani, Kampus Unhas Tamalanrea, Makassar. Wakil Rektor Bidang Akademik dan Kemahasiswaan, Prof. drg. Muhammad Ruslin, M.Kes., Ph.D., Sp.BM(K), menyampaikan laporan akademik wisudawan periode Februari, sekaligus berbagai upaya strategis dan capaian bidang akademik dan kemahasiswaan. Prof Ruslin menjelaskan, Unhas terus berkomitmen menjaga keseimbangan antara daya tampung penerimaan mahasiswa baru dengan kualitas lulusan. Dalam tiga tahun terakhir, Unhas menunjukkan trend positif. Unhas juga berkomitmen untuk meminimalisasi angka mahasiswa putus studi di seluruh jenjang pendidikan. Salah satu strategi yang diterapkan adalah monitoring dan evaluasi. “Monitoring evaluasi akademik dilakukan sistematis, bertujuan untuk identifikasi dini berbagai kendala akademik mahasiswa, sehingga dapat diberikan pendampingan yang tepat dan berkelanjutan,” jelas Prof Ruslin. Pendekatan tersebut tidak hanya berdampak pada peningkatan angka kelulusan tepat waktu, tetapi mendorong terciptanya ekosistem akademik yang adaptif dan berorientasi pada keberhasilan mahasiswa. Jumlah Wisudawan Berdasarkan Program Adapun Jumlah Wisudawan Perjenjang Pendidikan yakni : Rata-rata IPK dan Lama Studi: Rata-rata IPK dan Lama Studi Lulusan Terbaik Jumlah Wisudawan per Fakultas Seluruh rangkaian proses wisuda yang terbagi dalam dua sesi berlangsung lancar dan hikmat. Pada hari pertama, jumlah wisudawan yang mengikuti proses wisuda sebanyak 679. Untuk hari kedua, sebanyak 686 wisudawan",berita
"Komisi Nasional Disabilitas Berkunjung ke Unhas, Perkuat Implementasi Kampus Inklusif",https://www.unhas.ac.id/komisi-nasional-disabilitas-berkunjung-ke-unhas-perkuat-implementasi-kampus-inklusif/?lang=id,"Universitas Hasanuddin melalui Pusat Disabilitas (Pusdis) menerima kunjungan Komisi Nasional Disabilitas (KND) Republik Indonesia yang dipimpin oleh Komisioner, Eka Prastama Widiyanta. Pertemuan berlangsung di Ruang Rapat Rektor Lantai 8 Gedung Rektorat Unhas, Selasa (3/2). Ketua Pusat Disabilitas Unhas, Dr. Ishak Salim, S.IP., M.A., menjelaskan bahwa Pusdis Unhas dirancang sebagai ruang ternyaman dan aman bagi mahasiswa difabel untuk berkembang secara mandiri. Sebagian staf Pusdis merupakan mahasiswa yang menjadi pendamping sekaligus mitra bagi mahasiswa difabel. “Staf Pusdis kami berasal dari mahasiswa yang kami yakini dapat mendampingi mahasiswa difabel dengan baik. Kami juga memiliki relawan Juru Bahasa Isyarat yang telah diakui secara resmi sebagai JBI. Pusdis kami arahkan sebagai ruang untuk mendorong mahasiswa difabel mampu melakukan self-advocacy kepada dosen, sehingga stigma bahwa mereka selalu harus dibantu dapat dihilangkan,” jelas Ishak. Pusdis Unhas berupaya menumbuhkan kemandirian dan rasa percaya diri mahasiswa difabel melalui penyusunan modul serta buku panduan pembelajaran inklusif yang melibatkan mahasiswa difabel secara langsung. Komisioner KND RI, Eka Prastama Widiyanta, menyampaikan bahwa kunjungan ini bertujuan untuk memperoleh informasi serta melihat secara langsung implementasi perguruan tinggi yang inklusif di Universitas Hasanuddin. “Kami ingin mendalami peran Pusat Disabilitas dalam mendukung proses pembelajaran. KND memberikan penguatan dan pemahaman, sekaligus mendorong inovasi teknologi pendukung, seperti fasilitas akses dan sarana pembelajaran, agar mahasiswa difabel dapat belajar secara mandiri dan dosen juga lebih terbantu,” ungkap Eka. Rektor Universitas Hasanuddin Prof. Dr. Ir. Jamaluddin Jompa, M.Sc., menegaskan bahwa pembangunan Pusat Disabilitas Unhas merupakan langkah strategis untuk meningkatkan pemahaman institusi terhadap dimensi disabilitas dalam berbagai aspek kehidupan kampus. “Kami membangun Pusdis agar universitas lebih memahami dimensi disabilitas dalam berbagai aspek, sekaligus menghadirkan layanan yang lebih profesional. Universitas harus menjadi contoh yang baik dalam proses pendidikan, pelayanan, dan pengembangan sumber daya manusia yang inklusif,” tegas Rektor. Rektor juga menyampaikan bahwa Pusdis Unhas telah memasuki tahun ketiga dan masih memerlukan dukungan berkelanjutan untuk pengembangan layanan dan fasilitas, khususnya di setiap fakultas, terutama pada bangunan bertingkat. Ke depan, Universitas Hasanuddin berharap adanya penguatan komunitas serta kolaborasi lintas fakultas, termasuk dengan Fakultas Teknik, dalam menciptakan teknologi pendukung yang memperkuat ekosistem kampus inklusif.",berita
Provinsi Sulawesi Tengah Perkuat Sinergi dengan Unhas untuk Beasiswa Berani Cerdas,https://www.unhas.ac.id/provinsi-sulawesi-tengah-perkuat-sinergi-dengan-unhas-untuk-beasiswa-berani-cerdas/?lang=id,"Pemerintah Provinsi Sulawesi Tengah (Pemprov Sulteng) memperkuat sinergi dengan Universitas Hasanuddin dalam rangka memastikan program beasiswa pemerintah daerah bagi mahasiswa asal Sulawesi Tengah berjalan tepat sasaran. Beasiswa bernama Berani Cerdas ini dibahas dalam pertemuan yang digelar di Universitas Hasanuddin, Selasa 3 Februari 2026 di Gedung Rektorat Unhas. Dalam pertemuan tersebut, Pemprov Sulawesi Tengah diwakili Kepala Dinas Pendidikan (Drs. Firmanza DP, S.H., M.Si). Sementara dari pihak Universitas Hasanuddin hadir Sekretaris Rektor (Dr. Sawedi Muhammad, S.Sos., M.Sc.), Direktur Kemahasiswaan Unhas (Abdullah Sanusi, Ph.D.), serta Dekan Fakultas Vokasi Unhas (Prof. Dr. Ir. Muh. Restu, M.P). Direktur Kemahasiswaan Unhas Abdullah Sanusi, Ph.D., menyampaikan bahwa jumlah mahasiswa asal Sulawesi Tengah yang menempuh pendidikan di Universitas Hasanuddin terus mengalami peningkatan setiap tahunnya. Beberapa diantara mereka merupakan penerima beasiswa yang disediakan oleh Unhas atau mitra Unhas. “Unhas menyambut baik penguatan sinergi ini dan berharap ke depan dapat terwujud berbagai bentuk kerja sama lainnya yang saling menguatkan,” ujar Abdullah. Ia menambahkan bahwa Universitas Hasanuddin memiliki sejumlah program unggulan dalam mendukung peningkatan kualitas sumber daya manusia, salah satunya program fast track yang memungkinkan mahasiswa menyelesaikan pendidikan hingga jenjang magister dalam waktu lima tahun. Selain itu, Unhas juga telah menjalin kerja sama rekrutmen dengan PT Indonesia Morowali Industrial Park (IMIP) yang berlokasi di Sulawesi Tengah sebagai bagian dari upaya menyiapkan lulusan yang siap memasuki dunia kerja. Kepala Dinas Pendidikan Provinsi Sulawesi Tengah, Firmanza, menjelaskan bahwa saat ini terdapat 288 mahasiswa asal Sulawesi Tengah penerima beasiswa yang menempuh pendidikan di Universitas Hasanuddin. Namun demikian, pihaknya masih menghadapi tantangan dalam aspek akuntabilitas penerima beasiswa. “Kami diutus Gubernur untuk menyelesaikan kendala tersebut, sehingga kerja sama dengan perguruan tinggi menjadi sangat penting untuk memastikan program beasiswa berjalan tepat sasaran dan terkelola dengan baik,” ungkap Firmanza. Ia menjelaskan bahwa program beasiswa Pemerintah Provinsi Sulawesi Tengah bertajuk Berani Cerdas mengalokasikan anggaran sebesar Rp90 miliar untuk lebih dari 23 ribu mahasiswa asal Sulawesi Tengah yang tersebar di sekitar 400 perguruan tinggi di seluruh Indonesia. Melalui penguatan sinergi ini, Pemprov Sulawesi Tengah dan Universitas Hasanuddin berharap pengelolaan beasiswa daerah dapat semakin akuntabel, transparan, dan memberikan dampak nyata bagi peningkatan kualitas sumber daya manusia Sulawesi Tengah.",berita
"Kick Off Zona Integritas 2026, Rektor Unhas: Kita Bangun Budaya Pelayanan Prima Bebas dari Korupsi",https://www.unhas.ac.id/kick-off-zona-integritas-2026-rektor-unhas-kita-bangun-budaya-pelayanan-prima-bebas-dari-korupsi/?lang=id,"Rektor Universitas Hasanuddin Prof. Dr. Ir. Jamaluddin Jompa, M.Sc., menegaskan pentingnya penguatan sumber daya manusia dan peningkatan kualitas layanan publik sebagai kunci keberhasilan pelaksanaan Zona Integritas Tahun 2026. Hal tersebut disampaikannya dalam kegiatan Kick Off Pelaksanaan Zona Integritas 2026 yang berlangsung di Ruang Rapat Senat Lantai 2, Gedung Rektorat Unhas, Kampus Tamalanrea, Senin (2/2). Kegiatan ini dipimpin oleh Sekretaris Universitas Unhas, Prof. Ir. Sumbangan Baja, M.Phil., Ph.D., dan dihadiri oleh seluruh unsur pimpinan unit kerja di lingkup Unhas, yaitu para dekan dan wakil dekan, kepala lembaga, diirektur, serta Tim Pelaksana Pembangunan Zona Integritas. Hadir pula Ketua Satuan Pengawas Internal (SPI) Unhas (Dr. Andi Kusumawati, SE., M.Si., Ak., CA), Tim Penilai Perguruan Tinggi Negeri (TP-PTN) Zona Integritas Unhas, serta tim pendukung lainnya. Prof. Sumbangan Baja menyampaikan bahwa Unhas merupakan salah satu perguruan tinggi dengan tingkat partisipasi fakultas yang tinggi dalam pelaksanaan Zona Integritas. Unit kerja di Unhas telah memenuhi bahkan melampaui capaian indikator yang ditetapkan oleh kementerian, yakni minimal 50 persen unit kerja. “Dari sisi jumlah unit kerja, Unhas sudah melampaui indikator yang ditetapkan kementerian. Selanjutnya, kami berharap seluruh unit kerja dapat segera menyelesaikan pengisian dan pemenuhan dokumen Zona Integritas secara tepat dan sesuai ketentuan,” ujar Prof. Sumbangan Baja. Sementara itu, Rektor Unhas Prof. JJ dalam arahannya menekankan pentingnya peran sumber daya manusia dalam membangun budaya integritas. Para pimpinan unit harus memberi perhatian dalam membentuk budaya baru dalam pelayanan publik, yaitu pelayanan prima, berkualitas, dan bebas dari praktik-praktik korupsi, kolusi, dan nepotisme. “Para pimpinan harus mengupayakan penguatan SDM secara berkelanjutan. SDM yang kuat akan menentukan kualitas tata kelola dan keberhasilan Zona Integritas. Kita harus memastikan bahwa setiap perencanaan dan program yang kita susun benar-benar terimplementasi dengan baik dan berdampak pada peningkatan kualitas layanan publik,” kara Prof. JJ. Pada kesempatan ini, TP-PTN Zona integritas Unhas, Ishaq Rahman, S.IP, M.Si, memaparkan progres dan perkembangan pembangunan Zona Integritas Unhas tahun 2025, dan menguraikan strategi yang dipersiapkkan Unhas pada tahun 2026. “Tahun 2025 lalu, Kementerian Dikti Saintek mengusulkan lima fakultas dari seluruh PTN di Indonesia untuk memperoleh predikat Wilayah Bebas dari Korupsi atau WBK. Tiga diantaranya berasal dari Unhas, yaitu: Fakultas Kedokteran, Fakultas Kesehatan Masyarakat, dan Fakultas Kehutanan. Capaian ini membuat kita optimis, tahun 2026 nanti kita akan dapat mencapai predikat WBK,” kata Ishaq. Saat ini, Unhas secara intensif melakukan pembenahan dan perbaikan tata kelola dan layanan pada 20 unit kerja, yang terdiri dari 18 fakultas, dan dua rumah sakit.",berita
"Bulan K3, Unhas Dorong Penguatan Budaya Keselamatan Kerja di Lingkungan Kampus",https://www.unhas.ac.id/bulan-k3-unhas-dorong-penguatan-budaya-keselamatan-kerja-di-lingkungan-kampus/?lang=id,"Universitas Hasanuddin menegaskan komitmennya dalam membangun lingkungan kerja yang aman dan sehat melalui pelaksanaan rangkaian kegiatan Bulan Keselamatan dan Kesehatan Kerja (K3), yang diselenggarakan oleh Subdirektorat Sistem Jaminan K3 dan Kesejahteraan Direktorat Sumber Daya Manusia (SDM). Kegiatan ini dilaksanakan pada Sabtu (31/01) dan diikuti oleh tenaga kependidikan, khususnya satuan pengamanan (Satpam) Unhas. Rangkaian kegiatan Bulan K3 hari ini diawali dengan Pengecekan Kebugaran Tenaga Pendidik Unhas (Satpam). Kegiatan ini merupakan hasil kolaborasi dengan Kementerian Kesehatan khususnya Bidang Kesehatan Masyarakat melalui Seksi Kesehatan Lingkungan, Kesehatan Kerja, dan Olahraga. Setelah pemeriksaan kebugaran, Satpam dibekali Pelatihan Pemadam Kebakaran (Damkar) dan Pertolongan Pertama pada Kecelakaan (P3K). “Kegiatan ini dirancang untuk meningkatkan kompetensi teknis dan kesiapsiagaan personel keamanan dalam menghadapi kondisi darurat di lingkungan kampus,” ungkap Kepala Subdirektorat Sistem Jaminan K3 dan Kesejahteraan, Prof. Dr. Lalu Muhammad Saleh, SKM., M.Kes. Rangkaian kegiatan hari ini akan ditutup dengan lomba cerdas cermat K3 sebagai sarana penguatan pemahaman dan internalisasi prinsip-prinsip keselamatan kerja secara edukatif dan partisipatif. Prof. Lalu mengungkapkan hadirnya serangkaian kegiatan ini menjadi simbol penguatan peran agen perubahan dalam membangun kesadaran dan budaya K3 yang berkelanjutan di masing-masing unit kerja. “Pelaksanaan Bulan K3 menjadi langkah strategis dalam meningkatkan kesadaran keselamatan dan kesehatan kerja di kalangan yang diharapkan menjadi budaya yang terus diterapkan,” harapnya. Peningkatan kompetensi sumber daya manusia, khususnya petugas keamanan, menjadi kunci dalam penerapan K3 yang efektif dan berkelanjutan. “Melalui pelatihan P3K dan pemadam kebakaran, kami mendorong peningkatan kapasitas satpam Unhas agar mampu menangani potensi bahaya dan risiko kerja secara tepat dan cepat. Hal ini sekaligus mendukung penguatan budaya K3 di lingkungan Universitas Hasanuddin,” ujar Prof. Lalu.",berita
"LSP Unhas Gelar FGD Rapat Kerja 2026, Perkuat Arah Program dan Tata Kelola Sertifikasi",https://www.unhas.ac.id/lsp-unhas-gelar-fgd-rapat-kerja-2026-perkuat-arah-program-dan-tata-kelola-sertifikasi/?lang=id,"Lembaga Sertifikasi Profesi (LSP) Universitas Hasanuddin menyelenggarakan Focus Group Discussion (FGD) Rapat Kerja tahun 2026. Pertemuan yang berlangsung selama tiga hari, Jum’at – Minggu, 30 Januari s.d. 1 Februari 2026 di Hotel Aston Makassar ini diikuti oleh Pengurus LSP Unhas. Dalam pertemuan pembahasan program kerja ini, jajaran pengurus LSP Unhas membahas berbagai topik strategis terkait arah kebijakan dan penguatan tata kelola kelembagaan tahun 2026. Sebagai salah satu Lembaga Sertifikasi Profesi yang bernaung di bawah universitas (LSP P1), LSP Unhas kini memiliki 65 skema sertifikasi yang telah diakui oleh Badan Nasional Sertifikasi Profesi (BNSP). LSP Unhas juga memiliki 147 asesor, dimana jumlah ini akan terus bertambah seiring dengan bertambahnya ruang lingkup. Ketua LSP Unhas, Mukti Ali, Ph.D, menjelaskan bahwa pelaksanaan FGD pembahasan program kerja ini merupakan upaya untuk semakin mengoptimalkan rencana LSP pada tahun 2026, menetapkan lini masa dan mempertegas pembagian tugas masing-masing manajer. “Kami ingin kegiatan LSP Unhas berlangsung terukur, terencana, dan selaras dengan kebijakan Universitas Hasanuddin. Saat ini Unhas telah memiliki Rencana Strategis yang perlu diterjemahkan dalam berbagai kegiatan unit kerja, termasuk oleh LSP Unhas,” kata Mukti Ali. Sebagai lembaga sertifikasi yang berada di bawah institusi pendidikan, LSP Unhas menempatkan mahasiswa sebagai sasaran utama proses sertifikasi dalam berbagai skema. Dengan kata lain, sertifikasi kompetensi yang digellar oleh LSP Unhas dirancang untuk selaras dengan kurikulum dan proses pembelajaran mahasiswa. “Kami ingin menghasilkan mahasiswa yang memiliki kompetensi dan berdaya saing, didukung oleh skema uji kompetensi yang berkualitas dan relevan dengan kebutuhan lapangan pekerjaan,” kata Mukti Ali.",berita
"Menteri Diktisaintek Hadiri Nobel Laureate Lecture di Unhas, Rektor: Momen Sangat Langka",https://www.unhas.ac.id/menteri-diktisaintek-hadiri-nobel-laureate-lecture-di-unhas-rektor-momen-sangat-langka/?lang=id,"Menteri Pendidikan Tinggi, Sains, dan Teknologi (Dikti Saintek) Republik Indonesia, Prof. Brian Yuliarto menghadiri kegiatan “Nobel Laureate Lecture at Hasanuddin University” yang diselenggarakan oleh Universitas Hasanuddin kerja sama The International Peace Foundation (IPF). Kegiatan ini turut di dukung oleh Kementerian Dikti Saintek melalui Direktorat Bina Talenta Sains dan Teknologi. Kegiatan bergengsi ini menghadirkan Prof. Morten P. Meldal, peraih Nobel Prize in Chemistry 2022 sekaligus Head of the Center for Evolutionary Biology, University of Copenhagen, Denmark, sebagai pembicara utama. Kegiatan berlangsung mulai pukul 09.30 Wita, di Baruga A.P Pettarani, Kampus Unhas Tamalanrea, Makassar, Kamis (29/01). Kuliah umum ini dihadiri oleh hampir 2.000 peserta, yang berasal dari berbagai institusi pendidikan tinggi dan menengah, dari seluruh Indonesia. Prof Brian mengatakan kehadiran ilmuwan kelas dunia di lingkungan perguruan tinggi Indonesia merupakan momentum strategis untuk memperkuat ekosistem riset global. Publik lecture tidak hanya menjadi forum berbagi pengetahuan, tetapi juga sarana membangun jejaring kolaborasi riset internasional yang berkelanjutan. Kuliah umum oleh peraih Nobel, kata Prof. Brian, memiliki peran penting dalam mengubah cara berpikir sivitas akademika, khususnya peneliti dan mahasiswa. Paparan langsung dari ilmuwan yang terlibat dalam riset berdampak global diharapkan mampu mendorong keberanian untuk berpikir lintas disiplin, kritis, dan inovatif dalam menjawab tantangan ilmiah. “Kolaborasi riset internasional menjadi kunci dalam meningkatkan kualitas dan daya saing para peneliti. Melalui kegiatan ini, peneliti Indonesia didorong untuk aktif menjajaki peluang joint research dan kolaborasi publikasi ilmiah dengan pusat-pusat riset unggulan dunia,” jelas Prof Brian. Indonesia memiliki potensi riset yang sangat besar di berbagai bidang strategis. Isu-isu global seperti lingkungan, energi berkelanjutan, dan perubahan iklim menjadi bidang penelitian yang relevan untuk dikembangkan melalui kolaborasi internasional berbasis keunggulan lokal. Dalam konteks pengembangan sumber daya manusia, kegiatan ini dinilai penting untuk menginspirasi generasi muda peneliti Indonesia. Interaksi langsung dengan peraih Nobel diharapkan dapat menumbuhkan semangat keilmuan, integritas akademik, serta orientasi riset jangka panjang yang berdampak. Menutup sambutannya, Prof Brian berharap kegiatan ini dapat menjadi awal dari kolaborasi riset konkret dan berkelanjutan. Ia menegaskan bahwa sinergi antara ilmuwan dunia dan peneliti Indonesia merupakan investasi penting bagi masa depan sains, teknologi, dan pembangunan berkelanjutan nasional. Pada kesempatan yang sama, Rektor Unhas, Prof. Dr. Ir. Jamaluddin Jompa, M.Sc., menjelaskan bahwa upaya menghadirkan ilmuwan kelas dunia merupakan bagian dari langkah Unhas meningkatkan reputasi internasional. Momentum seperti ini memberi ruang bagi kerja sama riset berdampak bagi sivitas akademika Unhas dan Indonesia. “Kegiatan ini dihadiri oleh ribuan peserta, termasuk akademisi dari Unhas dan berbagai perguruan tinggi di Indonesia. Kami berharap, kuliah umum seperti ini akan menjadi agenda rutin kami pada masa mendatang,” kata Prof. JJ. Secara khusus, Prof. JJ menyampaikan apresiasi atas dukungan nyata dari Menteri Dikti Saintek terhadap pelaksanaan kuliah umum. “Saya tahu, Pak Menteri sangat sibuk, namun bersedia menghadiri kegiatan ini. Menunjukkan bahwa kehadiran kuliah umum kelas dunia seperti ini mempunyai manfaat dan dampak yang penting bagi dunia pendidikan tinggi di tanah air,” tutup Prof. JJ.",berita
